u_id,address,ptype,rent,deposit,bed,bath,sqfeet,yearbuilt,pet,ceilingFan,furnished,fireplace,cablePaid,securitySystem,laundry,washer,dryer,heatstyle,dishwasher,stove,garbage,refrigerator,microwave,swimming,parking,fence,porch,smoking
4939188,"6200 Loyola Ln 1134Austin, Travis County  78724",Apt,$931.00,$150.00,1,1,786,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4938592,"2700 Little Valley Cv AAustin, Travis County  78741",Duplex,"$1,495.00",$0,3,1,1160,1973,Yes,No,No,Yes,No,No,No,Yes,Yes,Furnace,No,Yes,No,Yes,No,No,Driveway,Yes,Patio,No
4934906,"1521 Reagan Hill Dr Austin, Travis County  78752",Apt,$999.00,$150.00,1,1,630,N/A,No,Yes,No,No,No,No,No,No,No,Unknown,Yes,Yes,Yes,Yes,No,No,Open,No,Balcony,No
4932939,"2507 Bucks Run BAustin, Travis County  78744",Duplex,"$1,080.00","$1,080.00",2,1,832,1984,No,Yes,No,No,No,No,No,No,No,Furnace,Yes,Yes,Yes,Yes,No,No,Covered,No,Patio,No
4932124,"1137 Gunter St 112Austin, Travis County  78721",Apt,"$1,080.00",$500.00,2,1,N/A,N/A,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,Unknown,No,Not Known,No
4888450,"1800 S I35 Frontage Road Austin, TRAVIS County  78704",Apt,"$1,750.00",$300.00,2,2,870,2019,No,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Covered,No,None,No
4888469,"1800 S I 35 Frontage Road Austin, TRAVIS County  78704",Apt,"$2,100.00",$400.00,3,2,1123,2019,No,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Covered,No,None,No
4929081,"2906 E Martin Luther King Jr Blvd 24Austin, Travis County  78702",Apt,$930.00,$150.00,1,1,712,2020,No,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,1 Space,No,None,No
4926001,"6200 Loyola Ln Austin, Travis County  78724",Apt,"$1,000.00",$200.00,2,1,1007,2007,No,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,1 - Car Garage,No,Not Known,No
4925392,"6200 Loyola Ln 938Austin, Travis County  78724",Apt,"$1,000.00",$200.00,2,2,1007,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Car Garage,No,Patio,No
4925362,"6200 Loyola Ln 438Austin, Travis County  78724",Apt,$931.00,$150.00,1,1,786,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,2 - Carport,No,Patio,No
4923959,"1500 Reagan Hill Dr Austin, Travis County  78752",Apt,"$1,249.00",$250.00,2,1,850,1971,Yes,Yes,No,No,No,No,Yes,No,No,Central,No,Yes,Yes,Yes,No,No,Open,No,None,No
4799967,"12118 Walnut Park Xing Austin, TRAVIS County  78753",Apt,$943.00,$100.00,1,1,569,2001,Yes,Yes,No,No,No,No,Yes,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Patio,Yes
4799979,"12118 Walnut Park Xing Austin, TRAVIS County  78753",Apt,$943.00,$100.00,1,1,643,2001,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,Yes
4923208,"8600 N Lamar Blvd Austin, Travis County  78753",Apt,$899.00,$99.00,2,1,750,1974,Yes,Yes,No,No,No,No,Yes,No,No,Central,No,Yes,Yes,Yes,Yes,Yes,Open,No,Not Known,No
4922986,"11320 Menchaca Rd Austin, Travis County  78748",Apt,"$1,450.00",$400.00,2,1,1159,2018,No,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Not Known,No
4922978,"6200 Loyola Ln 425Austin, Travis County  78724",Apt,"$1,200.00",$300.00,3,2,1106,2007,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Not Known,No
